,Standard Stats,Standard Stats,Standard Stats
,Statistic,Per 90,Percentile
0,Goals,0.32,75
1,Assists,0.11,30
2,Goals + Assists,0.43,55
3,Non-Penalty Goals,0.32,79
4,Penalty Kicks Made,0.00,43
5,Penalty Kicks Attempted,0.00,41
6,Yellow Cards,0.04,88
7,Red Cards,0.00,56
8,xG: Expected Goals,0.31,78
9,npxG: Non-Penalty xG,0.31,82
10,xAG: Exp. Assisted Goals,0.16,40
11,npxG + xAG,0.47,68
12,,,
13,Progressive Carries,4.94,84
14,Progressive Passes,2.91,39
15,Progressive Passes Rec,9.92,82
16,Shooting,Shooting,Shooting
17,Statistic,Per 90,Percentile
18,Goals,0.32,75
19,Shots Total,1.92,43
20,Shots on Target,0.89,68
21,Shots on Target %,46.3%,90
22,Goals/Shot,0.17,89
23,Goals/Shot on Target,0.36,69
24,Average Shot Distance,13.90,88
25,Shots from Free Kicks,0.00,31
26,Penalty Kicks Made,0.00,43
27,Penalty Kicks Attempted,0.00,41
28,,,
29,xG: Expected Goals,0.31,78
30,npxG: Non-Penalty xG,0.31,82
31,npxG/Shot,0.16,91
32,Goals - xG,+0.01,58
33,Non-Penalty Goals - npxG,+0.01,56
34,Passing,Passing,Passing
35,Statistic,Per 90,Percentile
36,Passes Completed,25.20,52
37,Passes Attempted,33.41,52
38,Pass Completion %,75.4%,50
39,Total Passing Distance,327.83,28
40,Progressive Passing Distance,75.39,26
41,,,
42,Passes Completed (Short),16.92,75
43,Passes Attempted (Short),19.44,76
44,Pass Completion % (Short),87.0%,63
45,,,
46,Passes Completed (Medium),6.36,27
47,Passes Attempted (Medium),9.03,30
48,Pass Completion % (Medium),70.5%,15
49,,,
50,Passes Completed (Long),0.78,13
51,Passes Attempted (Long),1.78,18
52,Pass Completion % (Long),44.0%,24
53,Assists,0.11,30
54,xAG: Exp. Assisted Goals,0.16,40
55,xA: Expected Assists,0.13,40
56,Key Passes,1.24,31
57,Passes into Final Third,1.28,29
58,Passes into Penalty Area,1.14,38
59,Crosses into Penalty Area,0.28,47
60,Progressive Passes,2.91,39
61,Pass Types,Pass Types,Pass Types
62,Statistic,Per 90,Percentile
63,Passes Attempted,33.41,52
64,,,
65,Live-ball Passes,32.67,62
66,Dead-ball Passes,0.64,17
67,Passes from Free Kicks,0.00,10
68,Through Balls,0.28,61
69,Switches,0.04,18
70,Crosses,2.56,45
71,Throw-ins Taken,0.64,72
72,Corner Kicks,0.00,9
73,,,
74,Inswinging Corner Kicks,0.00,17
75,Outswinging Corner Kicks,0.00,30
76,Straight Corner Kicks,0.00,42
77,,,
78,Passes Completed,25.20,52
79,Passes Offside,0.11,60
80,Passes Blocked,1.35,30
81,Goal and Shot Creation,Goal and Shot Creation,Goal and Shot Creation
82,Statistic,Per 90,Percentile
83,Shot-Creating Actions,2.95,28
84,,,
85,SCA (Live-ball Pass),2.45,58
86,SCA (Dead-ball Pass),0.00,17
87,SCA (Take-On),0.21,46
88,SCA (Shot),0.11,23
89,SCA (Fouls Drawn),0.14,40
90,SCA (Defensive Action),0.04,51
91,,,
92,Goal-Creating Actions,0.28,33
93,,,
94,GCA (Live-ball Pass),0.25,46
95,GCA (Dead-ball Pass),0.00,38
96,GCA (Take-On),0.00,30
97,GCA (Shot),0.00,30
98,GCA (Fouls Drawn),0.04,62
99,GCA (Defensive Action),0.00,45
100,Defense,Defense,Defense
101,Statistic,Per 90,Percentile
102,Tackles,1.56,61
103,Tackles Won,0.92,62
104,Tackles (Def 3rd),0.53,62
105,Tackles (Mid 3rd),0.46,34
106,Tackles (Att 3rd),0.57,93
107,,,
108,Dribblers Tackled,0.68,64
109,Dribbles Challenged,1.71,67
110,% of Dribblers Tackled,39.6%,51
111,Challenges Lost,1.03,30
112,,,
113,Blocks,1.71,94
114,Shots Blocked,0.11,56
115,Passes Blocked,1.60,96
116,,,
117,Interceptions,0.46,55
118,Tkl+Int,2.03,60
119,Clearances,0.36,13
120,Errors,0.00,77
121,Possession,Possession,Possession
122,Statistic,Per 90,Percentile
123,Touches,46.74,57
124,Touches (Def Pen),0.53,12
125,Touches (Def 3rd),5.40,38
126,Touches (Mid 3rd),16.03,46
127,Touches (Att 3rd),26.30,77
128,Touches (Att Pen),5.62,78
129,Touches (Live-Ball),46.74,57
130,,,
131,Take-Ons Attempted,4.55,80
132,Successful Take-Ons,1.78,76
133,Successful Take-On %,39.1%,40
134,Times Tackled During Take-On,2.59,7
135,Tackled During Take-On Percentage,57.0%,17
136,,,
137,Carries,28.19,54
138,Total Carrying Distance,225.78,80
139,Progressive Carrying Distance,131.20,83
140,,,
141,Progressive Carries,4.94,84
142,Carries into Final Third,2.74,89
143,Carries into Penalty Area,1.96,80
144,Miscontrols,1.85,60
145,Dispossessed,0.78,94
146,,,
147,Passes Received,32.70,54
148,Progressive Passes Rec,9.92,82
149,Miscellaneous Stats,Miscellaneous Stats,Miscellaneous Stats
150,Statistic,Per 90,Percentile
151,Yellow Cards,0.04,88
152,Red Cards,0.00,56
153,Second Yellow Card,0.00,54
154,Fouls Committed,1.39,34
155,Fouls Drawn,0.82,16
156,Offsides,0.18,64
157,Crosses,2.56,45
158,,,
159,Interceptions,0.46,55
160,Tackles Won,0.92,62
161,Penalty Kicks Won,0.00,35
162,Penalty Kicks Conceded,0.00,53
163,Own Goals,0.00,50
164,Ball Recoveries,3.31,21
165,,,
166,Aerials Won,0.89,76
167,Aerials Lost,0.96,55
168,% of Aerials Won,48.1%,87
