,Player,% of Aerials Won,% of Dribblers Tackled,Aerials Lost,Aerials Won,Assists,Average Shot Distance,Ball Recoveries,Blocks,Carries,Carries into Final Third,Carries into Penalty Area,Challenges Lost,Clearances,Corner Kicks,Crosses,Crosses into Penalty Area,Dead-ball Passes,Dispossessed,Dribblers Tackled,Dribbles Challenged,Errors,Fouls Committed,Fouls Drawn,GCA (Dead-ball Pass),GCA (Defensive Action),GCA (Fouls Drawn),GCA (Live-ball Pass),GCA (Shot),GCA (Take-On),Goal-Creating Actions,Goals,Goals + Assists,Goals - xG,Goals/Shot,Goals/Shot on Target,Inswinging Corner Kicks,Interceptions,Key Passes,Live-ball Passes,Miscontrols,Non-Penalty Goals,Non-Penalty Goals - npxG,Offsides,Outswinging Corner Kicks,Own Goals,Pass Completion %,Pass Completion % (Long),Pass Completion % (Medium),Pass Completion % (Short),Passes Attempted,Passes Attempted (Long),Passes Attempted (Medium),Passes Attempted (Short),Passes Blocked,Passes Completed,Passes Completed (Long),Passes Completed (Medium),Passes Completed (Short),Passes Offside,Passes Received,Passes from Free Kicks,Passes into Final Third,Passes into Penalty Area,Penalty Kicks Attempted,Penalty Kicks Conceded,Penalty Kicks Made,Penalty Kicks Won,Progressive Carries,Progressive Carrying Distance,Progressive Passes,Progressive Passes Rec,Progressive Passing Distance,Red Cards,SCA (Dead-ball Pass),SCA (Defensive Action),SCA (Fouls Drawn),SCA (Live-ball Pass),SCA (Shot),SCA (Take-On),Second Yellow Card,Shot-Creating Actions,Shots Blocked,Shots Total,Shots from Free Kicks,Shots on Target,Shots on Target %,Straight Corner Kicks,Successful Take-On %,Successful Take-Ons,Switches,Tackled During Take-On Percentage,Tackles,Tackles (Att 3rd),Tackles (Def 3rd),Tackles (Mid 3rd),Tackles Won,Take-Ons Attempted,Through Balls,Throw-ins Taken,Times Tackled During Take-On,Tkl+Int,Total Carrying Distance,Total Passing Distance,Touches,Touches (Att 3rd),Touches (Att Pen),Touches (Def 3rd),Touches (Def Pen),Touches (Live-Ball),Touches (Mid 3rd),Yellow Cards,npxG + xAG,npxG/Shot,npxG: Non-Penalty xG,xA: Expected Assists,xAG: Exp. Assisted Goals,xG: Expected Goals
0,Kaoru Mitoma,0.481,0.396,0.96,0.89,0.11,13.9,3.31,1.71,28.19,2.74,1.96,1.03,0.36,0.0,2.56,0.28,0.64,0.78,0.68,1.71,0.0,1.39,0.82,0.0,0.0,0.04,0.25,0.0,0.0,0.28,0.32,0.43,0.01,0.17,0.36,0.0,0.46,1.24,32.67,1.85,0.32,0.01,0.18,0.0,0.0,0.754,0.44,0.705,0.87,33.41,1.78,9.03,19.44,1.475,25.2,0.78,6.36,16.92,0.11,32.7,0.0,1.28,1.14,0.0,0.0,0.0,0.0,4.94,131.2,2.91,9.92,75.39,0.0,0.0,0.04,0.14,2.45,0.11,0.21,0.0,2.95,0.11,1.92,0.0,0.89,0.4629999999999999,0.0,0.391,1.78,0.04,0.57,1.56,0.57,0.53,0.46,0.92,4.55,0.28,0.64,2.59,2.03,225.78,327.83,46.74,26.3,5.62,5.4,0.53,46.74,16.03,0.04,0.47,0.16,0.31,0.13,0.16,0.31
1,Takefusa Kubo,0.44,0.432,0.6,0.47,0.0,15.9,4.62,1.41,33.35,2.18,2.31,0.9,0.56,0.98,3.3,0.43,1.8,1.84,0.69,1.58,0.04,0.77,2.83,0.0,0.0,0.0,0.09,0.0,0.21,0.3,0.21,0.21,0.06,0.13,0.42,0.43,0.56,1.88,34.42,3.47,0.21,0.06,0.34,0.34,0.0,0.7120000000000001,0.467,0.698,0.852,36.52,3.85,9.63,18.75,1.54,25.99,1.8,6.72,15.97,0.3,37.59,0.43,2.31,1.67,0.0,0.0,0.0,0.0,5.48,143.31,4.02,8.65,112.95,0.0,0.39,0.17,0.3,2.74,0.04,0.56,0.0,4.2,0.04,1.71,0.0,0.51,0.3,0.0,0.4629999999999999,2.7,0.09,0.419,1.28,0.39,0.43,0.47,0.81,5.82,0.3,0.34,2.44,1.84,243.97,369.72,51.08,26.89,4.62,4.84,0.39,51.08,20.34,0.21,0.32,0.09,0.15,0.15,0.17,0.15
2,Cody Gakpo,0.385,0.5,1.21,0.76,0.15,14.9,3.64,1.06,28.23,1.62,1.11,0.61,0.81,0.05,3.48,0.4,0.81,1.11,0.61,1.21,0.05,0.91,1.36,0.0,0.0,0.05,0.15,0.0,0.15,0.35,0.51,0.66,0.16,0.19,0.45,0.0,0.56,1.72,28.99,2.07,0.51,0.16,0.25,0.0,0.0,0.758,0.545,0.6709999999999999,0.865,29.9,1.67,10.61,16.11,0.735,22.68,0.91,7.12,13.94,0.1,31.52,0.2,1.11,1.36,0.0,0.0,0.0,0.05,2.68,103.74,2.63,12.93,80.61,0.0,0.0,0.1,0.2,2.68,0.25,0.4,0.0,3.64,0.1,2.68,0.0,1.11,0.415,0.0,0.537,1.46,0.2,0.315,1.36,0.45,0.25,0.66,0.76,2.73,0.15,0.56,0.86,1.92,200.51,325.56,41.41,26.06,4.75,4.14,1.16,41.41,12.07,0.25,0.53,0.13,0.35,0.16,0.18,0.35
3,Gabriel Martinelli,0.306,0.304,1.44,0.63,0.17,13.1,3.13,0.51,26.1,1.27,2.53,0.68,0.72,0.13,3.59,0.55,0.55,1.44,0.3,0.97,0.0,0.63,0.84,0.0,0.0,0.04,0.13,0.04,0.04,0.25,0.34,0.51,0.07,0.16,0.36,0.13,0.17,1.56,26.61,2.07,0.34,0.07,0.34,0.0,0.0,0.708,0.49,0.6970000000000001,0.8340000000000001,27.37,2.07,7.81,14.78,0.95,19.39,1.01,5.45,12.33,0.21,29.48,0.0,0.46,1.44,0.0,0.0,0.0,0.0,4.9,102.54,2.07,11.66,60.9,0.0,0.04,0.0,0.13,2.11,0.17,0.34,0.0,2.79,0.0,2.07,0.0,0.93,0.449,0.0,0.302,1.35,0.08,0.547,0.84,0.3,0.34,0.21,0.63,4.48,0.21,0.42,2.45,1.01,192.8,278.87,38.73,25.64,7.31,3.8,0.68,38.73,9.88,0.04,0.47,0.13,0.27,0.19,0.2,0.27
4,Marcus Rashford,0.286,0.467,0.95,0.38,0.19,18.0,2.41,0.63,26.58,1.84,1.71,0.51,0.63,1.39,3.48,0.63,2.41,0.44,0.44,0.95,0.0,0.57,0.63,0.0,0.0,0.0,0.19,0.06,0.0,0.25,0.38,0.57,0.08,0.15,0.36,1.01,0.32,1.77,29.62,1.39,0.32,0.06,0.51,0.0,0.0,0.73,0.434,0.6970000000000001,0.845,32.09,3.35,8.35,17.59,0.915,23.42,1.46,5.82,14.87,0.06,31.01,0.38,0.95,1.58,0.06,0.0,0.06,0.0,2.66,75.89,2.15,7.66,83.23,0.0,0.38,0.0,0.19,2.41,0.25,0.32,0.0,3.54,0.0,2.15,0.13,0.89,0.412,0.0,0.295,1.14,0.38,0.639,1.08,0.51,0.25,0.32,0.7,3.86,0.57,0.32,2.47,1.39,163.67,334.18,42.22,24.11,4.05,3.1,0.32,42.15,15.63,0.13,0.53,0.12,0.25,0.22,0.28,0.3
5,Bukayo Saka,0.321,0.5,1.05,0.5,0.55,15.6,3.76,1.22,32.44,1.66,2.55,0.61,0.44,3.1,6.14,0.61,4.15,2.1,0.61,1.22,0.0,0.77,2.1,0.28,0.0,0.06,0.72,0.06,0.11,1.22,0.33,0.89,-0.04,0.08,0.24,2.88,0.17,2.99,32.99,1.83,0.28,-0.05,0.33,0.0,0.0,0.757,0.483,0.733,0.905,37.36,4.82,11.18,18.6,1.165,28.28,2.32,8.19,16.83,0.22,36.7,0.39,0.77,1.94,0.06,0.0,0.06,0.06,4.93,125.87,3.65,13.34,125.92,0.0,1.05,0.0,0.22,3.65,0.5,0.61,0.0,6.03,0.0,3.43,0.06,1.16,0.3389999999999999,0.11,0.4479999999999999,2.16,0.11,0.414,1.33,0.39,0.39,0.55,0.72,4.82,0.22,0.66,1.99,1.49,219.35,435.06,50.48,36.81,8.36,2.93,0.33,50.42,11.24,0.17,0.71,0.1,0.33,0.39,0.39,0.37
6,Dejan Kulusevski,0.4,0.373,0.57,0.38,0.15,14.7,4.56,1.28,31.0,2.52,1.51,1.21,0.38,2.34,3.35,0.23,3.16,2.79,0.72,1.92,0.04,1.81,1.43,0.04,0.0,0.0,0.26,0.0,0.04,0.34,0.26,0.41,0.11,0.15,0.41,0.98,0.49,2.45,30.14,2.9,0.26,0.11,0.19,0.0,0.0,0.737,0.405,0.7809999999999999,0.862,33.64,2.98,9.79,17.22,1.335,24.79,1.21,7.65,14.84,0.34,33.72,0.15,2.34,1.96,0.0,0.0,0.0,0.0,4.52,120.85,4.67,7.91,110.0,0.0,0.45,0.0,0.11,3.58,0.11,0.57,0.0,4.82,0.19,1.77,0.0,0.64,0.362,0.0,0.325,1.43,0.04,0.607,1.7,0.57,0.64,0.49,0.87,4.41,0.41,0.23,2.67,2.19,231.95,347.19,48.07,27.09,5.95,5.61,0.9,48.07,16.27,0.11,0.39,0.09,0.16,0.15,0.23,0.16
7,Mohamed Salah,0.143,0.3329999999999999,0.67,0.11,0.45,15.9,2.9,0.45,31.04,1.79,3.35,0.67,0.11,0.0,2.68,0.34,0.45,1.01,0.34,1.01,0.0,0.45,0.56,0.0,0.0,0.0,0.34,0.22,0.0,0.56,0.34,0.78,-0.22,0.07,0.25,0.0,0.22,1.67,32.94,2.34,0.22,-0.16,0.22,0.0,0.0,0.7240000000000001,0.65,0.66,0.86,33.61,2.23,10.5,17.53,0.95,24.34,1.45,6.92,15.07,0.22,36.74,0.0,1.45,2.57,0.22,0.0,0.11,0.11,4.02,92.79,4.47,12.73,117.25,0.0,0.0,0.0,0.22,2.46,0.45,0.22,0.0,3.35,0.11,3.13,0.0,0.89,0.286,0.0,0.28,0.78,0.34,0.68,0.56,0.11,0.11,0.34,0.34,2.79,0.67,0.45,1.9,0.78,166.27,360.89,44.22,27.92,7.59,2.57,0.0,44.0,14.29,0.0,0.77,0.12,0.38,0.27,0.38,0.56
8,Lamine Yamal,0.25,0.444,0.1,0.03,0.44,19.1,3.83,0.4,45.64,2.99,3.06,0.67,0.1,0.64,3.3,0.54,1.48,1.51,0.54,1.21,0.0,0.94,1.98,0.0,0.0,0.07,0.64,0.07,0.2,0.98,0.27,0.71,-0.04,0.06,0.2,0.17,0.47,2.09,45.98,3.23,0.27,-0.04,0.4,0.0,0.0,0.747,0.4679999999999999,0.726,0.861,47.72,3.67,13.89,25.9,1.11,35.65,1.72,10.09,22.3,0.27,53.04,0.17,2.49,3.09,0.0,0.0,0.0,0.07,5.78,167.49,5.08,13.79,144.22,0.0,0.1,0.07,0.34,3.6,0.57,1.24,0.0,5.92,0.0,4.41,0.0,1.38,0.313,0.0,0.503,5.01,0.1,0.405,1.41,0.57,0.27,0.57,0.94,9.96,1.01,0.67,4.04,1.88,317.83,498.36,64.74,42.21,7.26,3.33,0.27,64.74,20.52,0.1,0.78,0.07,0.31,0.38,0.47,0.31
9,Vinicius Junior,0.125,0.278,0.28,0.04,0.28,17.6,2.88,0.28,37.79,3.45,4.26,0.53,0.04,0.28,2.27,0.24,1.14,1.91,0.2,0.73,0.08,1.22,2.84,0.0,0.0,0.08,0.41,0.0,0.2,0.69,0.45,0.73,0.03,0.12,0.39,0.0,0.12,2.31,33.94,2.84,0.37,0.04,0.41,0.0,0.0,0.741,0.6459999999999999,0.78,0.826,35.48,3.9,9.99,17.98,1.035,26.31,2.52,7.79,14.86,0.41,41.89,0.37,2.15,1.38,0.12,0.0,0.08,0.08,6.78,181.1,3.33,10.23,98.61,0.04,0.04,0.12,0.45,3.21,0.45,1.18,0.0,5.44,0.0,3.13,0.0,0.93,0.299,0.0,0.432,3.33,0.65,0.495,0.85,0.41,0.28,0.16,0.41,7.71,0.57,0.41,3.82,0.97,311.08,412.41,49.97,32.88,7.88,3.0,0.16,49.85,15.22,0.32,0.65,0.1,0.32,0.28,0.32,0.41
