Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
1,Harry Kane,eng ENG,FW,Bayern Munich,31,"€ 480,769 (£ 405,806, $495,591)","€ 25,000,000 (£ 21,101,908, $25,770,752)",
2,Manuel Neuer,de GER,GK,Bayern Munich,38,"€ 403,846 (£ 340,877, $416,297)","€ 21,000,000 (£ 17,725,603, $21,647,432)",
3,Thomas Müller,de GER,"MF,FW",Bayern Munich,34,"€ 394,231 (£ 332,761, $406,385)","€ 20,500,000 (£ 17,303,565, $21,132,017)",
4,Joshua Kimmich,de GER,MF,Bayern Munich,29,"€ 375,000 (£ 316,529, $386,561)","€ 19,500,000 (£ 16,459,488, $20,101,187)",
5,Serge Gnabry,de GER,"FW,MF",Bayern Munich,29,"€ 362,885 (£ 306,302, $374,072)","€ 18,870,000 (£ 15,927,720, $19,451,764)",
6,Kingsley Coman,fr FRA,FW,Bayern Munich,28,"€ 326,923 (£ 275,948, $337,002)","€ 17,000,000 (£ 14,349,297, $17,524,112)",
7,Leroy Sané,de GER,FW,Bayern Munich,28,"€ 288,462 (£ 243,484, $297,355)","€ 15,000,000 (£ 12,661,145, $15,462,452)",
8,Michael Olise,fr FRA,"FW,MF",Bayern Munich,22,"€ 259,615 (£ 219,135, $267,619)","€ 13,500,000 (£ 11,395,030, $13,916,206)",
9,Leon Goretzka,de GER,"MF,DF",Bayern Munich,29,"€ 250,000 (£ 211,019, $257,708)","€ 13,000,000 (£ 10,972,992, $13,400,791)",
10,Kim Min-jae,kr KOR,DF,Bayern Munich,27,"€ 230,769 (£ 194,787, $237,884)","€ 12,000,000 (£ 10,128,916, $12,369,961)",
11,Alphonso Davies,ca CAN,DF,Bayern Munich,23,"€ 216,346 (£ 182,613, $223,016)","€ 11,250,000 (£ 9,495,859, $11,596,839)",
12,Dayot Upamecano,fr FRA,DF,Bayern Munich,25,"€ 192,308 (£ 162,322, $198,237)","€ 10,000,000 (£ 8,440,763, $10,308,301)",
13,João Palhinha,pt POR,MF,Bayern Munich,29,"€ 192,308 (£ 162,322, $198,237)","€ 10,000,000 (£ 8,440,763, $10,308,301)",
14,Niklas Süle,de GER,DF,Dortmund,28,"€ 192,308 (£ 162,322, $198,237)","€ 10,000,000 (£ 8,440,763, $10,308,301)",
15,Serhou Guirassy,gn GUI,FW,Dortmund,28,"€ 181,346 (£ 153,070, $186,937)","€ 9,430,000 (£ 7,959,640, $9,720,728)",
16,Konrad Laimer,at AUT,DF,Bayern Munich,27,"€ 173,077 (£ 146,090, $178,413)","€ 9,000,000 (£ 7,596,687, $9,277,471)",Unverified estimation
17,Gregor Kobel,ch SUI,GK,Dortmund,26,"€ 173,077 (£ 146,090, $178,413)","€ 9,000,000 (£ 7,596,687, $9,277,471)",
18,Sébastien Haller,ci CIV,FW,Dortmund,30,"€ 163,462 (£ 137,829, $182,964)","€ 8,500,000 (£ 7,167,131, $9,514,107)",
19,Nordi Mukiele,fr FRA,DF,Leverkusen,26,"€ 161,538 (£ 136,208, $180,811)","€ 8,400,000 (£ 7,082,812, $9,402,176)",Unverified estimation
20,Raphaël Guerreiro,pt POR,"DF,MF",Bayern Munich,30,"€ 153,846 (£ 129,858, $158,589)","€ 8,000,000 (£ 6,752,611, $8,246,641)",Unverified estimation
21,Emre Can,de GER,"DF,MF",Dortmund,30,"€ 153,846 (£ 129,858, $158,589)","€ 8,000,000 (£ 6,752,611, $8,246,641)",
22,Matthias Ginter,de GER,DF,Freiburg,30,"€ 145,192 (£ 122,553, $149,669)","€ 7,550,000 (£ 6,372,776, $7,782,767)",
23,Benjamin Henrichs,de GER,DF,RB Leipzig,27,"€ 145,192 (£ 122,553, $149,669)","€ 7,550,000 (£ 6,372,776, $7,782,767)",Unverified estimation
24,David Raum,de GER,DF,RB Leipzig,26,"€ 145,192 (£ 122,553, $149,669)","€ 7,550,000 (£ 6,372,776, $7,782,767)",
25,Marcel Sabitzer,at AUT,MF,Dortmund,30,"€ 144,231 (£ 121,742, $148,677)","€ 7,500,000 (£ 6,330,572, $7,731,226)",
26,Julian Brandt,de GER,MF,Dortmund,28,"€ 134,615 (£ 113,626, $138,766)","€ 7,000,000 (£ 5,908,534, $7,215,811)",
27,Josip Stanišić,hr CRO,DF,Bayern Munich,24,"€ 126,923 (£ 107,133, $130,836)","€ 6,600,000 (£ 5,570,904, $6,803,479)",Unverified estimation
28,Lukas Klostermann,de GER,DF,RB Leipzig,28,"€ 126,923 (£ 107,133, $130,836)","€ 6,600,000 (£ 5,570,904, $6,803,479)",Unverified estimation
29,Willi Orban,hu HUN,DF,RB Leipzig,31,"€ 126,923 (£ 107,133, $130,836)","€ 6,600,000 (£ 5,570,904, $6,803,479)",Unverified estimation
30,Yussuf Poulsen,dk DEN,"FW,MF",RB Leipzig,30,"€ 126,923 (£ 107,133, $130,836)","€ 6,600,000 (£ 5,570,904, $6,803,479)",Unverified estimation
31,Alexander Nübel,de GER,GK,Bayern Munich,27,"€ 125,000 (£ 105,399, $139,913)","€ 6,500,000 (£ 5,480,747, $7,275,494)",
32,Xavi Simons,nl NED,MF,RB Leipzig,21,"€ 115,385 (£ 97,291, $129,151)","€ 6,000,000 (£ 5,059,151, $6,715,840)",
33,Donyell Malen,nl NED,"FW,MF",Dortmund,25,"€ 115,385 (£ 97,393, $118,942)","€ 6,000,000 (£ 5,064,458, $6,184,981)",
34,Felix Nmecha,de GER,MF,Dortmund,23,"€ 115,385 (£ 97,393, $118,942)","€ 6,000,000 (£ 5,064,458, $6,184,981)",
35,Álex Grimaldo,es ESP,DF,Leverkusen,28,"€ 115,385 (£ 97,393, $118,942)","€ 6,000,000 (£ 5,064,458, $6,184,981)",
36,Patrik Schick,cz CZE,FW,Leverkusen,28,"€ 115,385 (£ 97,393, $118,942)","€ 6,000,000 (£ 5,064,458, $6,184,981)",
37,Benjamin Šeško,si SVN,"FW,MF",RB Leipzig,21,"€ 108,846 (£ 91,874, $112,202)","€ 5,660,000 (£ 4,777,472, $5,834,498)",Unverified estimation
38,Elif Elmas,mk MKD,MF,RB Leipzig,24,"€ 108,846 (£ 91,874, $112,202)","€ 5,660,000 (£ 4,777,472, $5,834,498)",
39,Loïs Openda,be BEL,"FW,MF",RB Leipzig,24,"€ 108,846 (£ 91,874, $112,202)","€ 5,660,000 (£ 4,777,472, $5,834,498)",
40,Péter Gulácsi,hu HUN,GK,RB Leipzig,34,"€ 107,692 (£ 90,901, $111,012)","€ 5,600,000 (£ 4,726,827, $5,772,649)",
41,Maximilian Arnold,de GER,MF,Wolfsburg,30,"€ 105,769 (£ 89,277, $109,030)","€ 5,500,000 (£ 4,642,420, $5,669,566)",Unverified estimation
42,Eric Dier,eng ENG,DF,Bayern Munich,30,"€ 96,154 (£ 81,161, $99,118)","€ 5,000,000 (£ 4,220,382, $5,154,150)",Unverified estimation
43,Jamal Musiala,de GER,MF,Bayern Munich,21,"€ 96,154 (£ 81,161, $99,118)","€ 5,000,000 (£ 4,220,382, $5,154,150)",
44,Mathys Tel,fr FRA,"FW,MF",Bayern Munich,19,"€ 96,154 (£ 81,161, $99,118)","€ 5,000,000 (£ 4,220,382, $5,154,150)",Unverified estimation
45,Castello Lukeba,fr FRA,DF,RB Leipzig,21,"€ 96,154 (£ 81,161, $99,118)","€ 5,000,000 (£ 4,220,382, $5,154,150)",Unverified estimation
46,Julian Ryerson,no NOR,DF,Dortmund,26,"€ 96,154 (£ 81,161, $99,118)","€ 5,000,000 (£ 4,220,382, $5,154,150)",
47,Karim Adeyemi,de GER,"FW,MF",Dortmund,22,"€ 96,154 (£ 81,161, $99,118)","€ 5,000,000 (£ 4,220,382, $5,154,150)",
48,Edmond Tapsoba,bf BFA,DF,Leverkusen,25,"€ 96,154 (£ 81,161, $99,118)","€ 5,000,000 (£ 4,220,382, $5,154,150)",Unverified estimation
49,Exequiel Palacios,ar ARG,MF,Leverkusen,25,"€ 96,154 (£ 81,161, $99,118)","€ 5,000,000 (£ 4,220,382, $5,154,150)",Unverified estimation
50,Alassane Pléa,fr FRA,"MF,FW",Gladbach,31,"€ 90,769 (£ 76,616, $93,568)","€ 4,720,000 (£ 3,984,040, $4,865,518)",
51,Lovro Majer,hr CRO,MF,Wolfsburg,26,"€ 90,769 (£ 76,616, $93,568)","€ 4,720,000 (£ 3,984,040, $4,865,518)",
52,Lutsharel Geertruida,nl NED,DF,RB Leipzig,24,"€ 90,769 (£ 76,616, $93,568)","€ 4,720,000 (£ 3,984,040, $4,865,518)",Unverified estimation
53,Nico Schlotterbeck,de GER,DF,Dortmund,24,"€ 90,769 (£ 76,616, $93,568)","€ 4,720,000 (£ 3,984,040, $4,865,518)",
54,Aleix García,es ESP,MF,Leverkusen,27,"€ 90,769 (£ 76,616, $93,568)","€ 4,720,000 (£ 3,984,040, $4,865,518)",Unverified estimation
55,Ramy Bensebaini,dz ALG,DF,Dortmund,29,"€ 86,538 (£ 73,045, $89,206)","€ 4,500,000 (£ 3,798,343, $4,638,735)",Unverified estimation
56,Florian Wirtz,de GER,"MF,FW",Leverkusen,21,"€ 86,538 (£ 73,045, $89,206)","€ 4,500,000 (£ 3,798,343, $4,638,735)",
57,Pascal Groß,de GER,"MF,DF",Dortmund,33,"€ 80,000 (£ 67,526, $82,466)","€ 4,160,000 (£ 3,511,357, $4,288,253)",Unverified estimation
58,Granit Xhaka,ch SUI,MF,Leverkusen,31,"€ 79,808 (£ 67,364, $82,268)","€ 4,150,000 (£ 3,502,917, $4,277,945)",
59,Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,33,"€ 76,923 (£ 64,929, $79,295)","€ 4,000,000 (£ 3,376,305, $4,123,320)",Unverified estimation
