Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
1,Robert Lewandowski,pl POL,FW,Barcelona,35,"€ 640,962 (£ 541,020, $660,722)","€ 33,330,000 (£ 28,133,064, $34,357,567)",
2,Kylian Mbappé,fr FRA,FW,Real Madrid,25,"€ 600,962 (£ 507,257, $619,489)","€ 31,250,000 (£ 26,377,385, $32,213,441)",
3,David Alaba,at AUT,DF,Real Madrid,32,"€ 432,692 (£ 365,225, $446,032)","€ 22,500,000 (£ 18,991,717, $23,193,677)",
4,Jude Bellingham,eng ENG,MF,Real Madrid,21,"€ 400,577 (£ 338,118, $412,927)","€ 20,830,000 (£ 17,582,110, $21,472,191)",
5,Vinicius Júnior,br BRA,FW,Real Madrid,24,"€ 400,577 (£ 338,118, $412,927)","€ 20,830,000 (£ 17,582,110, $21,472,191)",
6,Jan Oblak,si SVN,GK,Atlético Madrid,31,"€ 400,577 (£ 338,118, $412,927)","€ 20,830,000 (£ 17,582,110, $21,472,191)",
7,Frenkie de Jong,nl NED,MF,Barcelona,27,"€ 365,385 (£ 308,413, $376,649)","€ 19,000,000 (£ 16,037,450, $19,585,772)",
8,Federico Valverde,uy URU,"MF,DF",Real Madrid,26,"€ 320,577 (£ 270,591, $330,460)","€ 16,670,000 (£ 14,070,752, $17,183,938)",Unverified estimation
9,Thibaut Courtois,be BEL,GK,Real Madrid,32,"€ 288,462 (£ 243,484, $297,355)","€ 15,000,000 (£ 12,661,145, $15,462,452)",
10,Antonio Rüdiger,de GER,DF,Real Madrid,31,"€ 280,385 (£ 236,666, $289,029)","€ 14,580,000 (£ 12,306,633, $15,029,503)",
11,Éder Militão,br BRA,DF,Real Madrid,26,"€ 280,385 (£ 236,666, $289,029)","€ 14,580,000 (£ 12,306,633, $15,029,503)",
12,Ansu Fati,es ESP,FW,Barcelona,21,"€ 268,269 (£ 226,440, $276,540)","€ 13,950,000 (£ 11,774,865, $14,380,080)",
13,Jules Koundé,fr FRA,DF,Barcelona,25,"€ 260,577 (£ 219,947, $268,611)","€ 13,550,000 (£ 11,437,234, $13,967,748)",
14,Raphinha,br BRA,"FW,MF",Barcelona,27,"€ 240,385 (£ 202,903, $247,796)","€ 12,500,000 (£ 10,550,954, $12,885,376)",
15,Aurélien Tchouaméni,fr FRA,"DF,MF",Real Madrid,24,"€ 240,385 (£ 202,903, $247,796)","€ 12,500,000 (£ 10,550,954, $12,885,376)",
16,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,21,"€ 240,385 (£ 202,903, $247,796)","€ 12,500,000 (£ 10,550,954, $12,885,376)",Unverified estimation
17,Rodrygo,br BRA,"FW,MF",Real Madrid,23,"€ 240,385 (£ 202,903, $247,796)","€ 12,500,000 (£ 10,550,954, $12,885,376)",Unverified estimation
18,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,33,"€ 240,385 (£ 202,903, $247,796)","€ 12,500,000 (£ 10,550,954, $12,885,376)",
19,Iñaki Williams,gh GHA,FW,Athletic Club,30,"€ 219,231 (£ 185,048, $225,990)","€ 11,400,000 (£ 9,622,470, $11,751,463)",
20,Nico Williams,es ESP,FW,Athletic Club,22,"€ 200,385 (£ 169,140, $206,563)","€ 10,420,000 (£ 8,795,275, $10,741,250)",Unverified estimation
21,Dani Ceballos,es ESP,MF,Real Madrid,27,"€ 200,385 (£ 169,140, $206,563)","€ 10,420,000 (£ 8,795,275, $10,741,250)",Unverified estimation
22,Dani Carvajal,es ESP,DF,Real Madrid,32,"€ 200,385 (£ 169,140, $206,563)","€ 10,420,000 (£ 8,795,275, $10,741,250)",
23,Ferland Mendy,fr FRA,DF,Real Madrid,29,"€ 200,385 (£ 169,140, $206,563)","€ 10,420,000 (£ 8,795,275, $10,741,250)",
24,Luka Modrić,hr CRO,MF,Real Madrid,38,"€ 200,385 (£ 169,140, $206,563)","€ 10,420,000 (£ 8,795,275, $10,741,250)",
25,Ferrán Torres,es ESP,"FW,MF",Barcelona,24,"€ 192,308 (£ 162,322, $198,237)","€ 10,000,000 (£ 8,440,763, $10,308,301)",
26,Dani Olmo,es ESP,"MF,FW",Barcelona,26,"€ 180,385 (£ 152,258, $185,946)","€ 9,380,000 (£ 7,917,436, $9,669,186)",Unverified estimation
27,Iñigo Martínez,es ESP,DF,Barcelona,33,"€ 180,385 (£ 152,258, $185,946)","€ 9,380,000 (£ 7,917,436, $9,669,186)",
28,Pedri,es ESP,MF,Barcelona,21,"€ 180,385 (£ 152,258, $185,946)","€ 9,380,000 (£ 7,917,436, $9,669,186)",
29,Lucas Vázquez,es ESP,DF,Real Madrid,33,"€ 180,385 (£ 152,258, $185,946)","€ 9,380,000 (£ 7,917,436, $9,669,186)",
