Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
1,Ousmane Dembélé,fr FRA,FW,Paris S-G,27,"€ 384,615 (£ 324,645, $396,473)","€ 20,000,000 (£ 16,881,526, $20,616,602)",
2,Lucas Hernández,fr FRA,DF,Paris S-G,28,"€ 365,385 (£ 308,413, $376,649)","€ 19,000,000 (£ 16,037,450, $19,585,772)",
3,Marquinhos,br BRA,CB,Paris S-G,30,"€ 323,077 (£ 272,702, $333,037)","€ 16,800,000 (£ 14,180,482, $17,317,946)",Unverified estimation
4,Khvicha Kvaratskhelia,ge GEO,FW,Paris S-G,23,"€ 314,615 (£ 265,281, $352,151)","€ 16,360,000 (£ 13,794,619, $18,311,858)",
5,Milan Škriniar,sk SVK,DF,Paris S-G,29,"€ 314,615 (£ 265,559, $324,315)","€ 16,360,000 (£ 13,809,089, $16,864,380)",
6,Achraf Hakimi,ma MAR,DF,Paris S-G,25,"€ 279,808 (£ 236,179, $288,434)","€ 14,550,000 (£ 12,281,310, $14,998,578)",
7,Marco Asensio,es ESP,"FW,MF",Paris S-G,28,"€ 279,808 (£ 236,179, $288,434)","€ 14,550,000 (£ 12,281,310, $14,998,578)",
8,Gianluigi Donnarumma,it ITA,GK,Paris S-G,25,"€ 244,808 (£ 206,636, $252,355)","€ 12,730,000 (£ 10,745,092, $13,122,467)",
9,Fabián Ruiz Peña,es ESP,MF,Paris S-G,28,"€ 174,808 (£ 147,551, $180,197)","€ 9,090,000 (£ 7,672,654, $9,370,246)",
10,João Neves,,DM,Paris S-G,19,"€ 174,808 (£ 147,551, $180,197)","€ 9,090,000 (£ 7,672,654, $9,370,246)",
11,Randal Kolo Muani,fr FRA,FW,Paris S-G,25,"€ 174,808 (£ 147,551, $180,197)","€ 9,090,000 (£ 7,672,654, $9,370,246)",
12,Warren Zaïre-Emery,,CM,Paris S-G,18,"€ 161,538 (£ 136,351, $166,519)","€ 8,400,000 (£ 7,090,241, $8,658,973)",
13,Presnel Kimpembe,fr FRA,DF,Paris S-G,28,"€ 147,692 (£ 124,664, $152,246)","€ 7,680,000 (£ 6,482,506, $7,916,775)",
14,Lee Kang-in,kr KOR,"FW,MF",Paris S-G,23,"€ 139,808 (£ 118,008, $144,118)","€ 7,270,000 (£ 6,136,435, $7,494,135)",Unverified estimation
