Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
1,Kevin De Bruyne,be BEL,"MF,FW",Manchester City,33,"£ 400,000 (€ 473,899, $488,501)","£ 20,800,000 (€ 24,642,740, $25,402,046)",
2,Erling Haaland,no NOR,FW,Manchester City,24,"£ 375,000 (€ 444,280, $457,970)","£ 19,500,000 (€ 23,102,568, $23,814,418)",
3,Casemiro,br BRA,MF,Manchester Utd,32,"£ 350,000 (€ 414,661, $427,438)","£ 18,200,000 (€ 21,562,397, $22,226,790)",
4,Mohamed Salah,eg EGY,FW,Liverpool,32,"£ 350,000 (€ 414,661, $427,438)","£ 18,200,000 (€ 21,562,397, $22,226,790)",
5,Bruno Fernandes,pt POR,MF,Manchester Utd,29,"£ 300,000 (€ 355,424, $366,376)","£ 15,600,000 (€ 18,482,055, $19,051,534)",
6,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,26,"£ 300,000 (€ 355,424, $366,376)","£ 15,600,000 (€ 18,482,055, $19,051,534)",
7,Bernardo Silva,pt POR,"MF,FW",Manchester City,29,"£ 300,000 (€ 355,424, $366,376)","£ 15,600,000 (€ 18,482,055, $19,051,534)",
8,Jack Grealish,eng ENG,"FW,MF",Manchester City,28,"£ 300,000 (€ 355,424, $366,376)","£ 15,600,000 (€ 18,482,055, $19,051,534)",
9,Omar Marmoush,eg EGY,"FW,MF",Manchester City,25,"£ 295,000 (€ 349,861, $391,588)","£ 15,340,000 (€ 18,192,787, $20,362,560)",
10,Kai Havertz,de GER,"FW,MF",Arsenal,25,"£ 280,000 (€ 331,729, $341,951)","£ 14,560,000 (€ 17,249,918, $17,781,432)",
11,Gabriel Jesus,br BRA,FW,Arsenal,27,"£ 265,000 (€ 313,958, $323,632)","£ 13,780,000 (€ 16,325,815, $16,828,855)",
12,Mason Mount,eng ENG,MF,Manchester Utd,25,"£ 250,000 (€ 296,187, $305,313)","£ 13,000,000 (€ 15,401,712, $15,876,279)",
13,John Stones,eng ENG,"DF,MF",Manchester City,30,"£ 250,000 (€ 296,187, $305,313)","£ 13,000,000 (€ 15,401,712, $15,876,279)",
14,Reece James,eng ENG,"DF,MF",Chelsea,24,"£ 250,000 (€ 296,187, $305,313)","£ 13,000,000 (€ 15,401,712, $15,876,279)",
15,Declan Rice,eng ENG,MF,Arsenal,25,"£ 240,000 (€ 284,339, $293,101)","£ 12,480,000 (€ 14,785,644, $15,241,227)",
16,Martin Ødegaard,no NOR,MF,Arsenal,25,"£ 240,000 (€ 284,339, $293,101)","£ 12,480,000 (€ 14,785,644, $15,241,227)",
17,İlkay Gündoğan,de GER,MF,Manchester City,33,"£ 230,000 (€ 272,492, $280,888)","£ 11,960,000 (€ 14,169,575, $14,606,176)",
18,Phil Foden,eng ENG,"MF,FW",Manchester City,24,"£ 225,000 (€ 266,568, $274,782)","£ 11,700,000 (€ 13,861,541, $14,288,651)",
19,Virgil van Dijk,nl NED,DF,Liverpool,33,"£ 220,000 (€ 260,644, $268,675)","£ 11,440,000 (€ 13,553,507, $13,971,125)",
20,Rodri,es ESP,MF,Manchester City,28,"£ 220,000 (€ 260,644, $268,675)","£ 11,440,000 (€ 13,553,507, $13,971,125)",
