Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
1,Dušan Vlahović,rs SRB,FW,Juventus,24,"€ 427,308 (£ 360,680, $440,482)","€ 22,220,000 (£ 18,755,376, $22,905,045)",
2,Lautaro Martínez,ar ARG,FW,Inter,26,"€ 320,577 (£ 270,591, $330,460)","€ 16,670,000 (£ 14,070,752, $17,183,938)",
3,Nicolò Barella,it ITA,MF,Inter,27,"€ 231,538 (£ 195,436, $238,677)","€ 12,040,000 (£ 10,162,679, $12,411,194)",
4,Hakan Çalhanoğlu,tr TUR,MF,Inter,30,"€ 213,654 (£ 180,340, $220,241)","€ 11,110,000 (£ 9,377,688, $11,452,522)",
5,Alessandro Bastoni,it ITA,DF,Inter,25,"€ 195,962 (£ 165,407, $202,003)","€ 10,190,000 (£ 8,601,138, $10,504,159)",
6,Gleison Bremer,br BRA,DF,Juventus,27,"€ 178,077 (£ 150,311, $183,567)","€ 9,260,000 (£ 7,816,147, $9,545,487)",
7,Piotr Zieliński,pl POL,MF,Inter,30,"€ 160,192 (£ 135,215, $165,131)","€ 8,330,000 (£ 7,031,156, $8,586,815)",
8,Álvaro Morata,es ESP,"FW,MF",Milan,31,"€ 160,192 (£ 135,215, $165,131)","€ 8,330,000 (£ 7,031,156, $8,586,815)",
9,Douglas Luiz,br BRA,MF,Juventus,26,"€ 160,192 (£ 135,215, $165,131)","€ 8,330,000 (£ 7,031,156, $8,586,815)",
10,Romelu Lukaku,be BEL,FW,Napoli,31,"€ 147,885 (£ 124,826, $152,444)","€ 7,690,000 (£ 6,490,947, $7,927,083)",
11,Marcus Thuram,fr FRA,FW,Inter,26,"€ 147,885 (£ 124,826, $152,444)","€ 7,690,000 (£ 6,490,947, $7,927,083)",
12,Federico Dimarco,it ITA,"DF,FW",Inter,26,"€ 142,500 (£ 120,281, $146,893)","€ 7,410,000 (£ 6,254,606, $7,638,451)",
13,Paulo Dybala,ar ARG,"FW,MF",Roma,30,"€ 135,385 (£ 114,275, $139,559)","€ 7,040,000 (£ 5,942,297, $7,257,044)",
14,Stefan de Vrij,nl NED,DF,Inter,32,"€ 135,385 (£ 114,275, $139,559)","€ 7,040,000 (£ 5,942,297, $7,257,044)",
15,Ismaël Bennacer,dz ALG,MF,Milan,26,"€ 135,385 (£ 114,275, $139,559)","€ 7,040,000 (£ 5,942,297, $7,257,044)",
16,Maxence Caqueret,fr FRA,MF,Como,24,"€ 128,269 (£ 108,156, $143,573)","€ 6,670,000 (£ 5,624,090, $7,465,776)",
17,Gianluca Mancini,it ITA,DF,Roma,28,"€ 124,615 (£ 105,185, $128,457)","€ 6,480,000 (£ 5,469,615, $6,679,779)",
18,Lorenzo Pellegrini,it ITA,MF,Roma,28,"€ 124,615 (£ 105,185, $128,457)","€ 6,480,000 (£ 5,469,615, $6,679,779)",
19,Mario Hermoso,es ESP,DF,Roma,29,"€ 124,615 (£ 105,185, $128,457)","€ 6,480,000 (£ 5,469,615, $6,679,779)",
20,Joaquín Correa,ar ARG,"FW,MF",Inter,29,"€ 124,615 (£ 105,185, $128,457)","€ 6,480,000 (£ 5,469,615, $6,679,779)",
21,Benjamin Pavard,fr FRA,DF,Inter,28,"€ 123,269 (£ 104,049, $127,070)","€ 6,410,000 (£ 5,410,529, $6,607,621)",
22,Rafael Leão,pt POR,FW,Milan,25,"€ 123,269 (£ 104,049, $127,070)","€ 6,410,000 (£ 5,410,529, $6,607,621)",
23,Arthur Melo,br BRA,DM,Juventus,28,"€ 123,269 (£ 104,049, $127,070)","€ 6,410,000 (£ 5,410,529, $6,607,621)",
24,Manuel Locatelli,it ITA,MF,Juventus,26,"€ 117,500 (£ 99,179, $121,123)","€ 6,110,000 (£ 5,157,306, $6,298,372)",
25,Gianluca Scamacca,it ITA,FW,Atalanta,25,"€ 114,038 (£ 96,257, $117,554)","€ 5,930,000 (£ 5,005,373, $6,112,822)",
26,Matteo Politano,it ITA,"FW,MF",Napoli,30,"€ 114,038 (£ 96,257, $117,554)","€ 5,930,000 (£ 5,005,373, $6,112,822)",
27,Leandro Paredes,ar ARG,MF,Roma,30,"€ 110,962 (£ 93,660, $114,383)","€ 5,770,000 (£ 4,870,320, $5,947,890)",
28,Tammy Abraham,eng ENG,FW,Milan,26,"€ 110,962 (£ 93,660, $114,383)","€ 5,770,000 (£ 4,870,320, $5,947,890)",
29,Teun Koopmeiners,nl NED,"MF,FW",Juventus,26,"€ 110,962 (£ 93,660, $114,383)","€ 5,770,000 (£ 4,870,320, $5,947,890)",
30,Dele Alli,eng ENG,MF,Como,28,"€ 106,923 (£ 90,157, $119,680)","€ 5,560,000 (£ 4,688,147, $6,223,345)",Unverified estimation
31,Raphaël Varane,fr FRA,CB,Como,31,"€ 106,923 (£ 90,251, $110,220)","€ 5,560,000 (£ 4,693,064, $5,731,415)",Unverified estimation
32,Mattia Zaccagni,it ITA,FW,Lazio,29,"€ 106,923 (£ 90,251, $110,220)","€ 5,560,000 (£ 4,693,064, $5,731,415)",
33,Artem Dovbyk,ua UKR,FW,Roma,27,"€ 106,923 (£ 90,251, $110,220)","€ 5,560,000 (£ 4,693,064, $5,731,415)",
34,David Neres,br BRA,FW,Napoli,27,"€ 106,923 (£ 90,251, $110,220)","€ 5,560,000 (£ 4,693,064, $5,731,415)",
35,Giovanni Di Lorenzo,it ITA,DF,Napoli,30,"€ 106,923 (£ 90,251, $110,220)","€ 5,560,000 (£ 4,693,064, $5,731,415)",
36,Scott McTominay,sct SCO,MF,Napoli,27,"€ 106,923 (£ 90,251, $110,220)","€ 5,560,000 (£ 4,693,064, $5,731,415)",
37,Mehdi Taremi,ir IRN,FW,Inter,32,"€ 106,923 (£ 90,251, $110,220)","€ 5,560,000 (£ 4,693,064, $5,731,415)",
38,Alessandro Florenzi,it ITA,"DF,FW",Milan,33,"€ 106,923 (£ 90,251, $110,220)","€ 5,560,000 (£ 4,693,064, $5,731,415)",
39,Youssouf Fofana,fr FRA,MF,Milan,25,"€ 106,923 (£ 90,251, $110,220)","€ 5,560,000 (£ 4,693,064, $5,731,415)",
40,Alessio Romagnoli,it ITA,DF,Lazio,29,"€ 99,808 (£ 84,245, $102,885)","€ 5,190,000 (£ 4,380,756, $5,350,008)",
41,Elseid Hysaj,al ALB,DF,Lazio,30,"€ 99,808 (£ 84,245, $102,885)","€ 5,190,000 (£ 4,380,756, $5,350,008)",
42,Bryan Cristante,it ITA,MF,Roma,29,"€ 99,808 (£ 84,245, $102,885)","€ 5,190,000 (£ 4,380,756, $5,350,008)",
43,Manu Koné,fr FRA,MF,Roma,23,"€ 99,808 (£ 84,245, $102,885)","€ 5,190,000 (£ 4,380,756, $5,350,008)",
44,Davide Frattesi,it ITA,MF,Inter,24,"€ 99,808 (£ 84,245, $102,885)","€ 5,190,000 (£ 4,380,756, $5,350,008)",
45,Obite N'Dicka,ci CIV,DF,Roma,24,"€ 98,654 (£ 83,271, $101,695)","€ 5,130,000 (£ 4,330,112, $5,288,158)",
46,Victor Osimhen,ng NGA,CF,Napoli,25,"€ 98,654 (£ 83,271, $101,695)","€ 5,130,000 (£ 4,330,112, $5,288,158)",
47,Denzel Dumfries,nl NED,"DF,FW",Inter,28,"€ 98,654 (£ 83,271, $101,695)","€ 5,130,000 (£ 4,330,112, $5,288,158)",
48,Christian Pulisic,us USA,"FW,MF",Milan,25,"€ 98,654 (£ 83,271, $101,695)","€ 5,130,000 (£ 4,330,112, $5,288,158)",
49,Ruben Loftus-Cheek,eng ENG,MF,Milan,28,"€ 98,654 (£ 83,271, $101,695)","€ 5,130,000 (£ 4,330,112, $5,288,158)",
50,Samuel Chukwueze,ng NGA,"FW,MF",Milan,25,"€ 98,654 (£ 83,271, $101,695)","€ 5,130,000 (£ 4,330,112, $5,288,158)",
51,Theo Hernández,fr FRA,DF,Milan,26,"€ 98,654 (£ 83,271, $101,695)","€ 5,130,000 (£ 4,330,112, $5,288,158)",
52,Danilo,br BRA,DF,Juventus,33,"€ 98,654 (£ 83,271, $101,695)","€ 5,130,000 (£ 4,330,112, $5,288,158)",
53,Duván Zapata,co COL,FW,Torino,33,"€ 96,154 (£ 81,161, $99,118)","€ 5,000,000 (£ 4,220,382, $5,154,150)",
54,Henrikh Mkhitaryan,am ARM,MF,Inter,35,"€ 93,654 (£ 79,051, $96,541)","€ 4,870,000 (£ 4,110,652, $5,020,143)",
55,Ben Godfrey,eng ENG,DF,Atalanta,26,"€ 89,038 (£ 75,155, $91,784)","€ 4,630,000 (£ 3,908,073, $4,772,743)",
56,Stephan El Shaarawy,it ITA,"DF,MF",Roma,31,"€ 89,038 (£ 75,155, $91,784)","€ 4,630,000 (£ 3,908,073, $4,772,743)",
57,Alessandro Buongiorno,it ITA,DF,Napoli,25,"€ 89,038 (£ 75,155, $91,784)","€ 4,630,000 (£ 3,908,073, $4,772,743)",
58,Giacomo Raspadori,it ITA,"FW,MF",Napoli,24,"€ 89,038 (£ 75,155, $91,784)","€ 4,630,000 (£ 3,908,073, $4,772,743)",
59,Emerson,br BRA,DF,Milan,25,"€ 89,038 (£ 75,155, $91,784)","€ 4,630,000 (£ 3,908,073, $4,772,743)",
60,Kyle Walker,eng ENG,DF,Milan,34,"€ 89,038 (£ 75,077, $99,661)","€ 4,630,000 (£ 3,903,978, $5,182,390)",Unverified estimation
61,Santiago Giménez,mx MEX,FW,Milan,23,"€ 89,038 (£ 75,077, $99,661)","€ 4,630,000 (£ 3,903,978, $5,182,390)",
62,Francisco Conceição,pt POR,"FW,MF",Juventus,21,"€ 89,038 (£ 75,155, $91,784)","€ 4,630,000 (£ 3,908,073, $4,772,743)",
63,Randal Kolo Muani,fr FRA,FW,Juventus,25,"€ 89,038 (£ 75,077, $99,661)","€ 4,630,000 (£ 3,903,978, $5,182,390)",Unverified estimation
64,Nicolás González,ar ARG,"FW,MF",Juventus,26,"€ 88,846 (£ 74,993, $91,585)","€ 4,620,000 (£ 3,899,633, $4,762,435)",
65,Marko Arnautović,at AUT,FW,Inter,35,"€ 86,346 (£ 72,883, $89,008)","€ 4,490,000 (£ 3,789,903, $4,628,427)",
66,Fikayo Tomori,eng ENG,DF,Milan,26,"€ 86,346 (£ 72,883, $89,008)","€ 4,490,000 (£ 3,789,903, $4,628,427)",
67,Arkadiusz Milik,pl POL,CF,Juventus,31,"€ 86,346 (£ 72,883, $89,008)","€ 4,490,000 (£ 3,789,903, $4,628,427)",
68,Andrea Pinamonti,it ITA,FW,Genoa,25,"€ 85,385 (£ 72,071, $88,017)","€ 4,440,000 (£ 3,747,699, $4,576,886)",
69,Andrea Cambiaso,it ITA,"DF,FW",Juventus,24,"€ 85,385 (£ 72,071, $88,017)","€ 4,440,000 (£ 3,747,699, $4,576,886)",
70,Enzo Le Fée,fr FRA,MF,Roma,24,"€ 81,923 (£ 69,149, $84,449)","€ 4,260,000 (£ 3,595,765, $4,391,336)",
71,João Félix,pt POR,MF,Milan,24,"€ 80,192 (£ 67,618, $89,760)","€ 4,170,000 (£ 3,516,110, $4,667,509)",Unverified estimation
72,Adam Marušić,me MNE,DF,Lazio,31,"€ 78,269 (£ 66,065, $80,682)","€ 4,070,000 (£ 3,435,391, $4,195,479)",
73,Samuel Gigot,fr FRA,DF,Lazio,30,"€ 78,269 (£ 66,065, $80,682)","€ 4,070,000 (£ 3,435,391, $4,195,479)",
74,Riccardo Orsolini,it ITA,FW,Bologna,27,"€ 71,154 (£ 60,059, $73,348)","€ 3,700,000 (£ 3,123,082, $3,814,071)",
75,Robin Gosens,de GER,DF,Fiorentina,30,"€ 71,154 (£ 60,059, $73,348)","€ 3,700,000 (£ 3,123,082, $3,814,071)",
76,Junior Messias,br BRA,"MF,FW",Genoa,33,"€ 71,154 (£ 60,059, $73,348)","€ 3,700,000 (£ 3,123,082, $3,814,071)",
