Player,Nation,Team,Position,Age,Season,League,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Advanced Goalkeeping,Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted (GK),Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
Kevin De Bruyne,be BEL,Manchester City,"MF,FW",33,24-25,EPL,0.21,0.37,0.58,0.21,0.0,0.0,0.11,0.0,0.27,0.27,0.42,0.69,2.7,8.3,7.93,3.01,0.79,0.263,0.07,0.27,21.4,0.42,0.09,-0.06,-0.06,48.01,63.24,0.759,818.94,235.52,24.27,28.4,0.855,18.3,23.74,0.7709999999999999,4.76,8.41,0.5660000000000001,0.35,3.01,4.65,3.12,0.69,54.52,8.46,1.69,0.79,0.53,7.67,0.95,4.97,1.75,1.06,0.11,0.26,0.42,5.98,3.86,1.37,0.16,0.32,0.16,0.11,0.58,0.48,0.05,0.0,0.05,0.0,0.0,0.9,0.48,0.37,0.26,0.26,0.26,1.22,0.217,0.95,0.42,0.0,0.37,1.27,0.53,0.05,72.34,0.53,3.97,24.06,44.95,4.18,72.34,1.8,0.69,0.382,0.9,0.5,42.94,211.57,109.78,2.7,1.06,1.37,1.48,53.99,0.0,0.9,0.95,0.26,0.0,0.0,0.0,3.38,0.26,0.85,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erling Haaland,no NOR,Manchester City,FW,24,24-25,EPL,0.72,0.1,0.82,0.63,0.1,0.13,0.07,0.0,0.72,0.62,0.1,0.72,0.79,0.66,4.08,3.42,1.81,0.529,0.18,0.35,12.3,0.03,0.19,0.0,0.01,8.39,12.53,0.669,101.51,19.51,5.76,8.09,0.711,1.94,2.76,0.7020000000000001,0.13,0.2,0.667,0.07,0.95,0.33,0.26,0.03,12.24,0.23,0.0,0.03,0.0,0.1,0.03,0.0,0.0,0.0,0.0,0.07,0.36,2.34,1.68,0.0,0.26,0.33,0.07,0.0,0.3,0.2,0.0,0.07,0.03,0.0,0.0,0.36,0.2,0.1,0.1,0.16,0.1,0.26,0.375,0.16,0.39,0.03,0.16,0.53,0.76,0.0,21.02,0.72,1.32,7.3,12.63,6.25,20.89,1.18,0.43,0.361,0.66,0.556,10.2,49.14,18.98,0.49,0.76,1.48,0.89,15.72,0.0,0.79,0.43,0.13,0.0,0.0,0.0,1.12,1.88,1.64,0.5329999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casemiro,br BRA,Manchester Utd,MF,32,24-25,EPL,0.06,0.0,0.06,0.06,0.0,0.0,0.3,0.0,0.11,0.11,0.14,0.25,0.24,5.06,1.69,1.93,0.6,0.313,0.03,0.1,19.5,0.0,0.06,-0.05,-0.05,46.99,59.64,0.7879999999999999,783.73,245.12,22.23,25.6,0.868,18.86,22.53,0.8370000000000001,4.16,6.81,0.611,0.12,1.33,4.88,1.39,0.36,58.01,1.14,1.02,0.54,0.54,1.2,0.12,0.0,0.0,0.0,0.0,0.48,1.75,3.19,2.95,0.06,0.0,0.18,0.0,0.0,0.24,0.24,0.0,0.0,0.0,0.0,0.0,5.0,3.01,3.01,1.39,0.6,2.71,4.46,0.608,1.75,2.35,0.6,0.84,5.84,3.07,0.18,75.3,4.52,22.53,38.13,15.12,2.59,75.3,0.36,0.18,0.5,0.18,0.5,39.76,123.31,56.27,0.6,0.0,0.72,0.6,48.19,0.0,1.2,1.14,0.24,0.0,0.0,0.0,6.2,2.17,1.14,0.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Salah,eg EGY,Liverpool,FW,32,24-25,EPL,0.77,0.48,1.25,0.53,0.24,0.24,0.03,0.0,0.67,0.49,0.38,0.87,4.11,3.84,13.03,3.23,1.33,0.413,0.17,0.4,14.5,0.03,0.15,0.1,0.05,23.81,33.72,0.706,356.24,104.63,13.38,16.05,0.8340000000000001,8.06,11.56,0.6970000000000001,1.58,2.67,0.59,0.24,2.35,1.42,2.48,0.4,32.76,0.8,0.19,0.51,0.08,2.11,0.61,0.0,0.0,0.0,0.0,0.16,0.32,4.51,3.28,0.05,0.59,0.37,0.13,0.08,0.72,0.53,0.0,0.13,0.05,0.0,0.0,0.56,0.29,0.19,0.13,0.24,0.21,0.45,0.471,0.24,0.32,0.0,0.24,0.8,0.13,0.0,45.25,0.29,2.59,13.35,29.88,9.5,45.01,3.66,1.55,0.423,1.92,0.526,30.68,186.17,98.65,1.58,3.36,3.1,1.79,37.56,0.0,0.67,1.04,0.48,0.0,0.0,0.0,2.7,0.24,0.37,0.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno Fernandes,pt POR,Manchester Utd,MF,29,24-25,EPL,0.24,0.3,0.54,0.15,0.09,0.09,0.15,0.06,0.3,0.23,0.25,0.48,2.3,9.69,3.85,2.77,0.78,0.28,0.05,0.19,22.6,0.36,0.08,-0.06,-0.08,50.9,66.86,0.7609999999999999,910.77,319.03,23.92,27.41,0.873,18.76,22.93,0.818,6.65,12.08,0.551,0.24,2.71,6.38,2.53,0.33,59.28,7.07,2.92,0.92,0.66,5.55,0.57,2.71,1.31,0.66,0.15,0.51,0.86,5.76,4.06,1.1,0.15,0.18,0.21,0.06,0.39,0.3,0.06,0.0,0.03,0.0,0.0,2.51,1.49,0.81,1.13,0.57,1.01,2.53,0.4,1.52,1.04,0.18,0.78,3.28,1.04,0.09,79.0,1.85,12.76,37.66,29.31,2.39,78.91,2.0,0.84,0.418,0.98,0.493,45.98,216.02,115.29,1.94,0.42,1.28,1.28,55.26,0.03,0.95,1.19,0.06,0.0,0.0,0.0,6.35,0.66,0.84,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Rashford,eng ENG,Manchester Utd,"FW,MF",26,24-25,EPL,0.38,0.19,0.57,0.32,0.06,0.06,0.13,0.0,0.3,0.25,0.28,0.53,2.66,2.15,7.66,2.15,0.89,0.412,0.15,0.36,18.0,0.13,0.12,0.08,0.06,23.42,32.09,0.73,334.18,83.23,14.87,17.59,0.845,5.82,8.35,0.6970000000000001,1.46,3.35,0.434,0.22,1.77,0.95,1.58,0.63,29.62,2.41,0.38,0.57,0.38,3.48,0.32,1.39,1.01,0.0,0.0,0.06,0.63,3.54,2.41,0.38,0.32,0.25,0.19,0.0,0.25,0.19,0.0,0.0,0.06,0.0,0.0,1.08,0.7,0.25,0.32,0.51,0.44,0.95,0.467,0.51,0.63,0.0,0.32,1.39,0.63,0.0,42.22,0.32,3.1,15.63,24.11,4.05,42.15,3.86,1.14,0.295,2.47,0.639,26.58,163.67,75.89,1.84,1.71,1.39,0.44,31.01,0.0,0.57,0.63,0.51,0.0,0.0,0.0,2.41,0.38,0.95,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernardo Silva,pt POR,Manchester City,"MF,FW",29,24-25,EPL,0.13,0.13,0.27,0.13,0.0,0.0,0.24,0.0,0.13,0.13,0.17,0.3,3.4,4.52,6.74,1.08,0.37,0.344,0.13,0.36,12.4,0.0,0.12,0.0,0.0,52.15,60.1,0.868,797.06,151.72,29.56,31.99,0.924,18.67,21.37,0.8740000000000001,2.76,4.18,0.6609999999999999,0.15,1.79,2.93,1.35,0.24,55.75,4.31,1.85,0.13,0.2,2.02,1.48,0.54,0.17,0.0,0.0,0.03,0.98,3.1,2.73,0.1,0.13,0.03,0.1,0.0,0.27,0.27,0.0,0.0,0.0,0.0,0.0,1.89,1.25,0.57,1.01,0.3,0.84,1.89,0.446,1.04,1.21,0.24,0.78,2.66,1.08,0.1,69.24,1.69,11.97,28.42,29.53,4.75,69.24,2.06,0.94,0.4589999999999999,0.88,0.426,43.42,273.37,136.35,2.19,1.08,0.84,1.15,51.17,0.0,0.91,1.08,0.1,0.0,0.0,0.0,3.61,0.17,0.34,0.3329999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Grealish,eng ENG,Manchester City,"FW,MF",28,24-25,EPL,0.12,0.12,0.25,0.12,0.0,0.0,0.37,0.0,0.14,0.14,0.22,0.37,8.61,6.49,14.73,1.87,0.62,0.3329999999999999,0.07,0.2,16.3,0.0,0.08,-0.01,-0.01,47.68,54.42,0.8759999999999999,709.64,123.08,30.83,33.08,0.932,14.36,16.35,0.878,2.25,3.25,0.6920000000000001,0.21,3.0,2.87,2.0,0.0,52.18,2.25,0.62,0.0,0.0,2.5,0.5,1.12,0.5,0.0,0.0,0.0,1.25,5.87,5.12,0.12,0.37,0.0,0.12,0.12,0.25,0.12,0.0,0.0,0.0,0.0,0.12,1.12,0.62,0.5,0.25,0.37,0.25,0.62,0.4,0.37,1.5,0.25,0.25,1.37,0.75,0.12,65.03,1.87,5.24,20.22,40.44,8.86,65.03,3.62,1.62,0.4479999999999999,1.12,0.31,46.93,359.63,213.95,2.87,5.74,1.25,2.0,52.8,0.0,0.62,3.12,0.0,0.0,0.0,0.0,3.25,0.12,0.87,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omar Marmoush,eg EGY,Manchester City,"FW,MF",25,24-25,EPL,0.54,0.0,0.54,0.54,0.0,0.0,0.0,0.0,0.42,0.42,0.21,0.64,2.22,2.83,5.97,3.75,1.3,0.347,0.14,0.41,18.6,0.54,0.11,0.11,0.11,19.3,24.36,0.792,263.72,65.03,12.56,14.78,0.85,5.29,6.74,0.784,0.69,1.23,0.563,0.16,1.15,0.77,2.22,0.31,22.29,1.84,0.31,0.15,0.0,2.14,0.08,1.07,0.61,0.23,0.0,0.23,1.07,2.99,1.69,0.23,0.15,0.38,0.54,0.0,0.15,0.08,0.0,0.0,0.0,0.08,0.0,1.0,0.61,0.15,0.69,0.15,0.61,1.23,0.5,0.61,1.15,0.08,0.46,1.46,0.23,0.0,38.6,0.46,2.6,11.64,24.97,5.21,38.6,3.52,1.53,0.435,1.61,0.457,24.51,151.28,73.53,1.53,1.15,3.45,1.46,27.65,0.0,1.15,1.53,0.77,0.08,0.0,0.0,2.83,0.38,0.84,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kai Havertz,de GER,Arsenal,"FW,MF",25,24-25,EPL,0.43,0.14,0.58,0.43,0.0,0.0,0.24,0.0,0.46,0.46,0.12,0.58,1.68,2.93,5.42,2.54,1.01,0.396,0.17,0.43,11.6,0.0,0.18,-0.02,-0.02,19.54,24.91,0.784,235.44,49.58,13.73,16.32,0.841,4.56,5.52,0.826,0.24,0.53,0.455,0.08,0.82,1.3,0.43,0.05,24.53,0.29,0.05,0.05,0.0,0.53,0.24,0.0,0.0,0.0,0.0,0.1,0.91,2.02,1.68,0.0,0.05,0.29,0.0,0.0,0.14,0.1,0.0,0.0,0.05,0.0,0.0,0.77,0.43,0.14,0.29,0.34,0.19,0.72,0.267,0.53,1.1,0.19,0.29,1.06,1.58,0.05,37.68,1.49,4.42,13.78,19.73,5.14,37.68,1.82,0.43,0.237,1.15,0.632,20.06,96.58,45.79,1.1,0.86,2.11,1.1,28.03,0.0,1.82,1.1,0.67,0.0,0.0,0.0,1.97,3.02,3.74,0.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
